time,count
2007-01-01,11
2007-01-02,125
2007-01-03,136
2007-01-04,126
2007-01-05,111
2007-01-06,12
2007-01-07,11
2007-01-08,167
2007-01-09,143
2007-01-10,165
2007-01-11,134
2007-01-12,138
2007-01-13,17
2007-01-14,12
2007-01-15,150
2007-01-16,166
2007-01-17,149
2007-01-18,118
2007-01-19,136
2007-01-20,20
2007-01-21,14
2007-01-22,176
2007-01-23,141
2007-01-24,149
2007-01-25,104
2007-01-26,119
2007-01-27,18
2007-01-28,15
2007-01-29,143
2007-01-30,143
2007-01-31,146
2007-02-01,105
2007-02-02,129
2007-02-03,14
2007-02-04,15
2007-02-05,182
2007-02-06,145
2007-02-07,145
2007-02-08,102
2007-02-09,108
2007-02-10,17
2007-02-11,12
2007-02-12,107
2007-02-13,160
2007-02-14,142
2007-02-15,143
2007-02-16,131
2007-02-17,9
2007-02-18,13
2007-02-19,126
2007-02-20,162
2007-02-21,145
2007-02-22,136
2007-02-23,144
2007-02-24,17
2007-02-25,10
2007-02-26,165
2007-02-27,171
2007-02-28,143
2007-03-01,139
2007-03-02,115
2007-03-03,19
2007-03-04,14
2007-03-05,150
2007-03-06,184
2007-03-07,158
2007-03-08,149
2007-03-09,120
2007-03-10,20
2007-03-11,7
2007-03-12,163
2007-03-13,173
2007-03-14,160
2007-03-15,101
2007-03-16,129
2007-03-17,12
2007-03-18,13
2007-03-19,151
2007-03-20,130
2007-03-21,121
2007-03-22,109
2007-03-23,94
2007-03-24,22
2007-03-25,9
2007-03-26,165
2007-03-27,202
2007-03-28,141
2007-03-29,107
2007-03-30,113
2007-03-31,20
2007-04-01,14
2007-04-02,128
2007-04-03,189
2007-04-04,127
2007-04-05,110
2007-04-06,17
2007-04-07,18
2007-04-08,11
2007-04-09,7
2007-04-10,138
2007-04-11,203
2007-04-12,145
2007-04-13,149
2007-04-14,14
2007-04-15,11
2007-04-16,235
2007-04-17,213
2007-04-18,185
2007-04-19,167
2007-04-20,188
2007-04-21,29
2007-04-22,16
2007-04-23,214
2007-04-24,209
2007-04-25,154
2007-04-26,145
2007-04-27,167
2007-04-28,15
2007-04-29,16
2007-04-30,175
2007-05-01,193
2007-05-02,165
2007-05-03,163
2007-05-04,131
2007-05-05,36
2007-05-06,24
2007-05-07,19
2007-05-08,183
2007-05-09,207
2007-05-10,176
2007-05-11,210
2007-05-12,23
2007-05-13,16
2007-05-14,231
2007-05-15,289
2007-05-16,195
2007-05-17,235
2007-05-18,276
2007-05-19,23
2007-05-20,17
2007-05-21,305
2007-05-22,348
2007-05-23,290
2007-05-24,258
2007-05-25,246
2007-05-26,36
2007-05-27,34
2007-05-28,68
2007-05-29,265
2007-05-30,322
2007-05-31,261
2007-06-01,243
2007-06-02,39
2007-06-03,33
2007-06-04,332
2007-06-05,363
2007-06-06,320
2007-06-07,268
2007-06-08,299
2007-06-09,36
2007-06-10,24
2007-06-11,349
2007-06-12,357
2007-06-13,300
2007-06-14,296
2007-06-15,332
2007-06-16,46
2007-06-17,22
2007-06-18,415
2007-06-19,426
2007-06-20,326
2007-06-21,277
2007-06-22,288
2007-06-23,42
2007-06-24,27
2007-06-25,346
2007-06-26,418
2007-06-27,302
2007-06-28,276
2007-06-29,278
2007-06-30,41
2007-07-01,31
2007-07-02,389
2007-07-03,392
2007-07-04,346
